"Project","Folder","Category","Focus"
"Breast Cancer AI","projects/breast-cancer-ai","Structured Clinical Prediction","Breast cancer malignancy prediction with validation, model comparison, explainability, Streamlit pages, reports, Docker files, and tests."
"Brain Tumour AI","projects/brain-tumour-ai","Medical Imaging","Neuro-oncology imaging triage prototype with data manifests, training workflow, model comparison, Streamlit pages, reports, Docker files, and tests."
"Eye Disease AI","projects/eye-disease-ai","Medical Imaging","Ophthalmology image screening prototype with data manifests, training workflow, model comparison, Streamlit pages, reports, Docker files, and tests."
"Heart Disease AI","projects/heart-disease-ai","Structured Clinical Prediction","Cardiology risk prediction prototype with tabular training, model comparison, Streamlit pages, reports, Docker files, and tests."
"Lung Cancer AI","projects/lung-cancer-ai","Medical Imaging","Thoracic oncology imaging triage prototype with data manifests, training workflow, model comparison, Streamlit pages, reports, Docker files, and tests."
"Brain Tumor Detection System","projects/brain-tumor-detection-system","Clinical Workflow System","Clinical triage demonstration for brain tumor detection with reproducible training, prediction services, reporting, dashboard pages, Docker files, and tests."
"Breast Cancer Decision Support","projects/breast-cancer-decision-support","Clinical Workflow System","Decision-support demonstration for breast cancer prediction with reproducible training, prediction services, reporting, dashboard pages, Docker files, and tests."
"Eye Disease Screening System","projects/eye-disease-screening-system","Clinical Workflow System","Clinical screening demonstration for eye disease categories with reproducible training, prediction services, reporting, dashboard pages, Docker files, and tests."
"Heart Disease Risk Assessment","projects/heart-disease-risk-assessment","Clinical Workflow System","Clinical risk-assessment demonstration for heart disease with reproducible training, prediction services, reporting, dashboard pages, Docker files, and tests."
"Lung Cancer Imaging System","projects/lung-cancer-imaging-system","Clinical Workflow System","Clinical imaging triage demonstration for lung cancer cases with reproducible training, prediction services, reporting, dashboard pages, Docker files, and tests."
